Stock Index,Stock Price
AC3235,805.396
AC3236,269.43524
AC3237,1538.6917
AC3238,822.96735
AC3239,299.85352
AC3240,371.42285
AC3241,726.9011
AC3242,912.1175
AC3243,907.0108
AC3244,1373.8809
AC3245,314.79816
AC3246,411.84222
AC3247,1264.2767
AC3248,216.814
AC3249,184.19174
AC3250,270.20645
AC3251,1775.1327
AC3252,168.81955
AC3253,301.99316
AC3254,214.54459
AC3255,999.59814
AC3256,866.00964
AC3257,1522.9822
AC3258,524.0602
AC3259,309.2813
AC3260,325.44424
AC3261,115.02781
AC3262,239.81622
AC3263,403.47037
AC3264,149.38406
AC3265,1476.3706
AC3266,1244.1537
AC3267,534.88556
AC3268,759.0963
AC3269,411.35883
AC3270,880.4584
AC3271,124.166664
AC3272,419.55408
AC3273,889.28986
AC3274,616.86847
AC3275,505.40994
AC3276,663.2106
AC3277,974.25214
AC3278,937.0807
AC3279,195.66864
AC3280,428.8564
AC3281,852.51843
AC3282,159.64697
AC3283,782.87665
AC3284,571.42694
AC3285,114.051186
AC3286,842.5472
AC3287,223.75766
AC3288,207.15588
AC3289,180.61377
AC3290,210.68994
AC3291,215.86542
AC3292,112.27604
AC3293,501.28403
AC3294,196.05893
AC3295,572.5235
AC3296,116.01078
AC3297,633.9625
AC3298,784.1473
AC3299,134.88644
AC3300,120.26264
AC3301,832.2128
AC3302,137.54831
AC3303,1224.6536
AC3304,39.58082
AC3305,282.46094
AC3306,202.57877
AC3307,58.980934
AC3308,147.18536
AC3309,311.17764
AC3310,792.22986
AC3311,1140.7965
AC3312,865.88556
AC3313,45.205452
AC3314,100.29188
AC3315,139.543
AC3316,412.55008
AC3317,1006.67285
AC3318,533.03864
AC3319,1182.0532
AC3320,42.05854
AC3321,114.74708
AC3322,83.60468
AC3323,897.6741
AC3324,106.60078
AC3325,307.4951
AC3326,422.9563
AC3327,106.23106
AC3328,97.49616
AC3329,676.39777
AC3330,913.0155
AC3331,267.20126
AC3332,775.3049
AC3333,1421.8765
AC3334,354.3056
AC3335,632.3775
AC3336,152.11957
AC3337,630.48773
AC3338,1729.4152
AC3339,823.06726
AC3340,110.31522
AC3341,1205.6583
AC3342,1199.0103
AC3343,301.0258
AC3344,125.3906
AC3345,256.2791
AC3346,113.17289
AC3347,321.91153
AC3348,669.8601
AC3349,514.76575
AC3350,134.7139
AC3351,527.5215
AC3352,83.14304
AC3353,401.57086
AC3354,274.76938
AC3355,651.18036
AC3356,248.58658
AC3357,784.52405
AC3358,1586.566
AC3359,1350.0059
AC3360,1147.7731
AC3361,232.44394
AC3362,354.00842
AC3363,527.9185
AC3364,421.73914
AC3365,117.344246
AC3366,347.56104
AC3367,268.12054
AC3368,805.5194
AC3369,308.6035
AC3370,593.25775
AC3371,372.0684
AC3372,461.8088
AC3373,246.18292
AC3374,358.30365
AC3375,1089.6921
AC3376,454.463
AC3377,210.63571
AC3378,385.79138
AC3379,645.5881
AC3380,169.12924
AC3381,416.42752
AC3382,598.16345
AC3383,170.07965
AC3384,245.40689
AC3385,249.70291
AC3386,150.06268
AC3387,299.64514
AC3388,1640.9827
AC3389,267.33093
AC3390,252.8247
AC3391,845.8775
AC3392,632.5245
AC3393,459.88748
AC3394,514.30347
AC3395,1459.4143
AC3396,78.9398
AC3397,662.8852
AC3398,433.33585
AC3399,98.81251
AC3400,202.0087
AC3401,142.0123
AC3402,474.9003
AC3403,309.4121
AC3404,102.24949
AC3405,144.64441
AC3406,325.43472
